Toit Payment Report,,,,,,,,,,,
Order No,Date,Customer Name,Employee,Payment Type,Payment Name,Card Number,Auth Code,Amount,Tip,Bank,Retrieval Reference No
1001,01-Aug-2026 21:14:03,Alice,E1,Card,Pinelabs APOS,411111,A1,1000.00,0,HDFC,100000000001
1002,01-Aug-2026 21:20:00,Bob,E1,Card,Pinelabs APOS,411111,A2,600.00,0,HDFC,100000000002
1003,01-Aug-2026 21:21:00,Bob,E1,Card,Pinelabs APOS,411111,A3,400.00,0,HDFC,100000000002
1004,01-Aug-2026 21:30:00,Carol,E2,Card,Pinelabs APOS,411111,A4,500.00,0,HDFC,100000000003
1005,01-Aug-2026 21:40:00,Dan,E2,Card,Manual APOS,,A5,300.00,0,HDFC,100000000004
1006,01-Aug-2026 21:50:00,Eve,E3,Card,Pinelabs APOS,411111,A6,700.00,0,HDFC,100000000005
1007,01-Aug-2026 22:00:00,Fay,E3,Card,Pinelabs APOS,411111,A7,900.00,0,HDFC,100000000007
1008,01-Aug-2026 22:05:00,Gil,E3,Card,Pinelabs APOS,411111,A8,250.00,0,HDFC,
1009,01-Aug-2026 22:10:00,Hal,E4,Card,Pinelabs APOS,371111,AUTH01,1500.00,0,AMEX,200000000001
1010,01-Aug-2026 22:15:00,Ivy,E4,Card,Pinelabs APOS,371111,,1600.00,0,American Express,200000000002
1011,01-Aug-2026 22:20:00,Jon,E4,Card,Pinelabs APOS,371111,AUTH03,1700.00,0,AMEX,200000000003
1012,01-Aug-2026 22:25:00,Kim,E5,Cash,Cash,,,450.00,0,,
1013,01-Aug-2026 22:30:00,Lea,E5,UPI,HDFC Static UPI,,,350.00,0,,300000000001
1014,01-Aug-2026 22:35:00,Moe,E5,Hold,Bills on Hold,,,275.00,0,,
1015,01-Aug-2026 22:40:00,Ned,E5,Bank,Bank transfer,,,525.00,0,,
1016,01-Aug-2026 22:45:00,Oli,E5,Online,Swiggy,,,199.00,0,,
